video_id,views,dislikes,likes,comment_count
TN-d2S37uiw,2665,0,58,8
qpkXi0-XkxI,1953661,1006,16054,1621
s89Yy9kJxYs,48861,60,5810,268
jZ-TBcMW2pM,110088,366,2983,335
_td3B7dS6Xk,6005,8,155,85
cydUt07JdKE,244204,0,0,789
42o0tcaoCao,155873,205,2370,1119
UUqdCffQvSw,1098,3,135,3
8CECF44hy00,33676,63,3199,356
NZFFGHQ2SUg,20318,33,877,105
YNxdiG6Juac,70650,75,496,18
AQxBqfy4Faw,456407,179,14889,1634
HE95Oli2cWY,18777,399,3229,1814
eG25uqIyFnM,8889,4,202,5
ozff0iaPOhw,98590,186,789,154
SM6350PPCpw,401001,115,34462,2733
5cs-aZieJfA,306296,404,26188,1374
RQREeUE9eGI,23727,28,2792,201
EXwQJXuJwiA,59899,148,9910,725
WjXAALv1KJk,22888,0,0,0
hzp6lbqINMU,28520,29,923,278
lIVG6bq04wk,81395,17,665,12
XJng--VcBg0,13375,28,526,103
ZKz3m6n1KDM,2777,4,6,13
r4hQqzPVzlw,4411,7,77,0
mLuzmXLORSg,260580,89,912,141
GQ6cKZ3Zf9A,124893,61,4868,379
kTGPOxG55Js,621418,722,2669,1759
H0_2UpWdY7c,694154,1613,36709,2038
DswepYrwVmY,13751,41,253,114
O4x4LcmhdGY,125552,82,6828,310
ZyufMMw9Xck,13013,23,581,61
QWhkFPDlUSY,427973,243,3324,683
akA_Z9Xmnvc,1183492,436,39167,3000
YcG9dxFxxkI,5392,0,8,0
U6dOZOI6DDk,199900,155,8051,374
2qLHXEbXH2k,58880,103,1981,534
ktKyIveaWCk,16346,23,234,17
t3917hmrMXE,27442,50,2064,202
ZKUerb6IH4Y,92533,147,3725,183
1uhPYjbPIGg,505379,6615,15781,3776
ZesdOBb8b7Q,41882,8,242,7
J2p_YHUHCms,981188,1471,1394,339
2pVHOaT9CZ4,487769,164,14788,1019
iFzFz8oZwxI,312150,462,2949,1090
CHrauPt7JVs,62157,55,3574,2772
pWW4q6Kgs5o,5099,5,981,176
SONGEiVMygg,2983487,960,33341,4845
739XDwYBEdI,110798,80,13064,1399
duEpI2mq2Gw,15382,13,52,38
MgLO_ojVcJ8,418276,847,11990,4544
-qdeWp22Rzo,2825,0,25,10
a3EIDwdfdQc,198568,80,12178,1824
q3Or1spy4EU,79011,66,2071,142
ioyC_woZT98,307755,139,10270,228
AJXQZJq_-zE,88592,41,2141,104
pKdQIzb7Wc4,5110,3,40,2
eJAs0wrVZOE,2802,20,213,63
-JYZrOyPMjQ,112090,54,347,76
A5ITqthd7_k,5337,3,129,43
YWPjQ5s3_p0,4170,3,162,0
nAUf2uCmGW4,1604469,1035,22075,4651
CI2zVegJBWA,621962,1061,3783,391
-HqSscUJRTk,423074,364,1307,239
ulCH4i07ED0,32647,5,2523,373
W5FjEyjLzQI,19427,30,686,32
P_OLMwUZWVQ,80742,106,296,544
mFLBNNYGDjE,58211,98,4648,518
umPDFJkH3_M,269305,566,7915,1080
lIfXE-VTqMk,190538,144,13491,928
0ugFrZQD1Ik,26119,8,166,22
MyagVVZ7zHw,11763,5,98,29
wEddJk3xBX0,33072,9,1230,68
teXaL6GdQRk,653056,638,37634,819
G-7YAKiwMl0,249590,196,1256,113
LtXhH4mYF8E,30472,37,390,144
60visWJPLdA,159952,75,6523,719
TXwDwGs3nCQ,12403,75,35,187
KlMAHgkYMx4,18123,33,336,49
Ci1z9tqFOWQ,40827,43,1239,159
p95TuXoqzW8,10242,24,409,27
RVM1H0uXatg,13750,11,136,23
NXin9D2Nc10,2881,0,9,0
8IGkj5CU2Sk,24801,38,51,0
sKIvVoovkCc,506091,380,8588,963
9DeeCRpG5Oc,76328,620,8767,413
oqvGFqR2h4w,1369908,817,16472,2353
qpliLkKK5qE,192028,276,8706,1266
oKI4KdrPMn8,475476,949,5609,350
1VuVxlMgaTs,492951,363,13322,1718
yTGf3vFdiX4,317912,204,11987,1074
AZUT__JPqos,167801,823,10725,6742
88SUjkbP_4A,2891,0,26,11
xUoFQO6D86o,6592,1,36,10
EToecqbiQC0,475031,378,4067,531
8Ch48o4og8E,180670,123,8221,952
AuGepJSKZD0,10210,27,294,1
Wgu8Itp7iqg,1049068,3117,99535,14283
BxhxZHqHDGA,49115,21,1900,132
7LjC-nUPrNg,3708663,5492,40325,7858
nCCUZceMKVE,293131,498,26912,6354
mrPfNc1CxZg,5434,18,284,35
UsJkgwsZodg,11499,41,358,420
IIk-iXGS-Gs,274677,210,5231,594
ZuPiuGcD-nw,124799,1213,18187,3379
rPVca0vJAHM,10165,14,444,11
2CAfk9AoNM8,277490,344,6171,0
vvSXvMMP4eQ,5405,20,249,48
3W23BNmcs_U,30961,13,3352,228
qunnzffFTj0,22050,16,916,65
eGeag7rNms0,6796,8,488,56
ga_Ra5R-U0Q,54598,10,3861,284
gq4yI4IFsVI,19560,26,994,209
b6nV1heycCY,91847,71,4060,437
CZOI6IJ5jAs,139713,98,9761,374
SzAZL7TA7U8,51262,40,3330,184
0tahXdeIpAU,7158,16,13,3
Mz0IcVs9_y0,137229,244,10685,943
HWNonReACTI,25295,13,957,108
ogNw1EMecJY,426132,128,19264,1586
MFXenInLcxA,279433,306,20136,638
F4bPAR_kkpU,1207700,407,6974,1870
5jhW6Pp-I60,53055,66,1041,210
Yy7tNYkzGJM,2279,0,131,9
T8x0VGk5yXs,811124,551,37319,5693
qqvo52kqXX4,19978,11,275,144
s-t9nIXcrF0,18810,44,837,171
r5B5WmzdBKU,245989,175,7807,995
cQttJ4K3Gh8,574688,2202,29223,4381
vNylulN_rzA,454998,184,3467,504
VBzvIbntyAE,12202,6,19,8
TlQsisVrsJ8,317196,565,4098,2884
VEjBIrM76uI,126361,129,6040,234
dMwlCesK-Gw,27508,162,1765,207
5Te0A7BAC0c,763204,305,3394,2713
kXyVkDoteYk,4593,1,29,2
S1k6VSVbOGE,43640,58,434,202
agyIQjYgSvc,472997,361,16593,2829
rCFV-9ceIuk,296771,182,5042,951
e7bHJbYzamY,36579,33,521,123
1csFTDXXULY,325002,335,10199,1139
0TTOXLtSCc4,122511,90,2655,394
